Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore
2020-08-09 08:46:52,4,2,0.92
2020-08-09 08:46:52,4,2,0.92
2020-08-09 08:46:53,4,1,0.94
2020-08-09 08:46:53,3,0,0.96
2020-08-09 08:46:54,3,0,0.96
2020-08-09 08:46:54,4,0,0.95
2020-08-09 08:46:55,4,2,0.92
2020-08-09 08:46:55,3,1,0.95
2020-08-09 08:46:56,5,2,0.91
2020-08-09 08:46:57,3,0,0.96
2020-08-09 08:46:57,5,6,0.86
2020-08-09 08:46:58,5,10,0.81
2020-08-09 08:46:58,4,1,0.94
2020-08-09 08:46:59,5,2,0.91
2020-08-09 08:46:59,4,1,0.94
2020-08-09 08:47:00,2,0,0.98
2020-08-09 08:47:00,2,0,0.98
2020-08-09 08:47:01,3,0,0.96
2020-08-09 08:47:01,4,1,0.94
2020-08-09 08:47:02,2,0,0.98
2020-08-09 08:47:02,3,0,0.96
2020-08-09 08:47:03,3,0,0.96
2020-08-09 08:47:03,4,0,0.95
2020-08-09 08:47:04,3,0,0.96
2020-08-09 08:47:04,2,0,0.98
2020-08-09 08:47:05,2,0,0.98
2020-08-09 08:47:05,3,0,0.96
2020-08-09 08:47:06,3,0,0.96
2020-08-09 08:47:06,2,0,0.98
2020-08-09 08:47:07,3,0,0.96
2020-08-09 08:47:07,3,0,0.96
2020-08-09 08:47:08,2,0,0.98
2020-08-09 08:47:08,2,0,0.98
2020-08-09 08:47:09,3,1,0.95
2020-08-09 08:47:09,3,0,0.96
2020-08-09 08:47:10,3,0,0.96
2020-08-09 08:47:10,3,1,0.95
2020-08-09 08:47:11,3,0,0.96
2020-08-09 08:47:11,4,3,0.91
2020-08-09 08:47:12,4,3,0.91
2020-08-09 08:47:12,4,3,0.91
2020-08-09 08:47:13,4,3,0.91
2020-08-09 08:47:14,5,4,0.89
2020-08-09 08:47:14,5,4,0.89
2020-08-09 08:47:15,1,0,0.99
2020-08-09 08:47:15,1,0,0.99
2020-08-09 08:47:16,1,0,0.99
2020-08-09 08:47:16,1,0,0.99
2020-08-09 08:47:17,1,0,0.99
2020-08-09 08:47:17,2,0,0.98
2020-08-09 08:47:18,2,0,0.98
2020-08-09 08:47:18,2,0,0.98
2020-08-09 08:47:19,2,0,0.98
2020-08-09 08:47:19,2,1,0.96
2020-08-09 08:47:20,2,1,0.96
2020-08-09 08:47:20,2,1,0.96
2020-08-09 08:47:21,2,1,0.96
2020-08-09 08:47:21,2,1,0.96
2020-08-09 08:47:22,1,0,0.99
2020-08-09 08:47:22,2,0,0.98
2020-08-09 08:47:23,2,0,0.98
2020-08-09 08:47:23,1,0,0.99
2020-08-09 08:47:24,1,0,0.99
2020-08-09 08:47:24,2,0,0.98
2020-08-09 08:47:25,2,0,0.98
2020-08-09 08:47:25,2,0,0.98
2020-08-09 08:47:26,4,0,0.95
2020-08-09 08:47:26,5,1,0.92
2020-08-09 08:47:27,4,0,0.95
2020-08-09 08:47:27,3,0,0.96
2020-08-09 08:47:28,7,4,0.86
2020-08-09 08:47:28,6,2,0.9
2020-08-09 08:47:29,5,1,0.92
2020-08-09 08:47:29,9,6,0.81
2020-08-09 08:47:30,7,2,0.89
2020-08-09 08:47:30,7,3,0.88
2020-08-09 08:47:31,6,0,0.92
2020-08-09 08:47:31,5,0,0.94
2020-08-09 08:47:32,6,1,0.91
2020-08-09 08:47:33,6,3,0.89
2020-08-09 08:47:33,4,2,0.92
2020-08-09 08:47:34,5,2,0.91
2020-08-09 08:47:34,5,0,0.94
2020-08-09 08:47:35,6,1,0.91
2020-08-09 08:47:35,7,2,0.89
2020-08-09 08:47:36,5,1,0.92
2020-08-09 08:47:36,4,1,0.94
2020-08-09 08:47:37,2,0,0.98
2020-08-09 08:47:37,4,1,0.94
2020-08-09 08:47:38,3,1,0.95
2020-08-09 08:47:38,4,1,0.94
2020-08-09 08:47:39,6,4,0.88
2020-08-09 08:47:39,5,2,0.91
2020-08-09 08:47:40,5,2,0.91
2020-08-09 08:47:40,3,0,0.96
2020-08-09 08:47:41,4,1,0.94
2020-08-09 08:47:41,3,0,0.96
2020-08-09 08:47:42,4,1,0.94
2020-08-09 08:47:42,3,1,0.95
2020-08-09 08:47:43,2,0,0.98
2020-08-09 08:47:43,7,2,0.89
2020-08-09 08:47:44,6,0,0.92
2020-08-09 08:47:44,5,0,0.94
2020-08-09 08:47:45,5,3,0.9
2020-08-09 08:47:45,6,3,0.89
2020-08-09 08:47:46,3,2,0.94
2020-08-09 08:47:46,5,1,0.92
2020-08-09 08:47:47,6,1,0.91
2020-08-09 08:47:47,5,0,0.94
2020-08-09 08:47:48,6,2,0.9
2020-08-09 08:47:48,3,0,0.96
2020-08-09 08:47:49,3,0,0.96
2020-08-09 08:47:49,2,0,0.98
2020-08-09 08:47:50,3,0,0.96
2020-08-09 08:47:51,3,0,0.96
2020-08-09 08:47:51,4,1,0.94
2020-08-09 08:47:52,3,1,0.95
2020-08-09 08:47:52,3,1,0.95
2020-08-09 08:47:53,3,0,0.96
2020-08-09 08:47:53,3,1,0.95
2020-08-09 08:47:54,5,1,0.92
2020-08-09 08:47:54,5,1,0.92
2020-08-09 08:47:55,6,2,0.9
2020-08-09 08:47:55,5,2,0.91
2020-08-09 08:47:56,5,1,0.92
2020-08-09 08:47:56,4,0,0.95
2020-08-09 08:47:57,4,0,0.95
2020-08-09 08:47:57,4,0,0.95
2020-08-09 08:47:58,5,1,0.92
2020-08-09 08:47:58,5,2,0.91
2020-08-09 08:47:59,6,2,0.9
2020-08-09 08:47:59,5,1,0.92
2020-08-09 08:48:00,6,2,0.9
2020-08-09 08:48:00,5,2,0.91
2020-08-09 08:48:01,5,3,0.9
2020-08-09 08:48:01,3,1,0.95
2020-08-09 08:48:02,3,1,0.95
2020-08-09 08:48:02,4,1,0.94
2020-08-09 08:48:03,6,2,0.9
2020-08-09 08:48:03,6,3,0.89
2020-08-09 08:48:04,6,2,0.9
2020-08-09 08:48:04,6,2,0.9
2020-08-09 08:48:05,6,3,0.89
2020-08-09 08:48:05,5,2,0.91
2020-08-09 08:48:06,4,2,0.92
2020-08-09 08:48:07,4,2,0.92
2020-08-09 08:48:07,3,1,0.95
2020-08-09 08:48:08,4,1,0.94
2020-08-09 08:48:08,4,1,0.94
2020-08-09 08:48:09,3,0,0.96
2020-08-09 08:48:09,3,0,0.96
2020-08-09 08:48:10,3,0,0.96
2020-08-09 08:48:10,4,0,0.95
2020-08-09 08:48:11,3,0,0.96
2020-08-09 08:48:11,4,0,0.95
2020-08-09 08:48:12,3,0,0.96
2020-08-09 08:48:12,3,0,0.96
2020-08-09 08:48:13,6,1,0.91
2020-08-09 08:48:13,5,1,0.92
2020-08-09 08:48:14,5,1,0.92
2020-08-09 08:48:14,5,3,0.9
2020-08-09 08:48:15,5,3,0.9
2020-08-09 08:48:15,6,2,0.9
2020-08-09 08:48:16,6,2,0.9
2020-08-09 08:48:16,2,0,0.98
2020-08-09 08:48:17,3,0,0.96
2020-08-09 08:48:17,4,0,0.95
2020-08-09 08:48:18,3,0,0.96
2020-08-09 08:48:18,5,0,0.94
2020-08-09 08:48:19,5,0,0.94
2020-08-09 08:48:19,6,1,0.91
2020-08-09 08:48:20,5,1,0.92
2020-08-09 08:48:20,5,1,0.92
2020-08-09 08:48:21,6,3,0.89
2020-08-09 08:48:21,5,3,0.9
2020-08-09 08:48:22,5,2,0.91
2020-08-09 08:48:22,3,1,0.95
2020-08-09 08:48:23,3,1,0.95
2020-08-09 08:48:23,4,1,0.94
2020-08-09 08:48:24,5,1,0.92
2020-08-09 08:48:24,5,1,0.92
2020-08-09 08:48:25,5,1,0.92
2020-08-09 08:48:25,4,1,0.94
2020-08-09 08:48:26,5,2,0.91
2020-08-09 08:48:27,5,1,0.92
2020-08-09 08:48:27,5,1,0.92
2020-08-09 08:48:28,6,2,0.9
2020-08-09 08:48:28,6,1,0.91
2020-08-09 08:48:29,6,2,0.9
2020-08-09 08:48:29,4,0,0.95
2020-08-09 08:48:30,2,0,0.98
2020-08-09 08:48:30,3,0,0.96
2020-08-09 08:48:31,3,0,0.96
2020-08-09 08:48:31,4,0,0.95
2020-08-09 08:48:32,3,0,0.96
2020-08-09 08:48:32,3,0,0.96
2020-08-09 08:48:33,4,1,0.94
2020-08-09 08:48:33,6,2,0.9
2020-08-09 08:48:34,3,1,0.95
2020-08-09 08:48:34,3,1,0.95
2020-08-09 08:48:35,5,2,0.91
2020-08-09 08:48:35,3,1,0.95
2020-08-09 08:48:36,3,0,0.96
2020-08-09 08:48:36,4,1,0.94
2020-08-09 08:48:37,4,0,0.95
2020-08-09 08:48:37,4,0,0.95
2020-08-09 08:48:38,4,0,0.95
2020-08-09 08:48:38,4,0,0.95
2020-08-09 08:48:39,5,1,0.92
2020-08-09 08:48:39,4,1,0.94
2020-08-09 08:48:40,6,3,0.89
2020-08-09 08:48:40,5,2,0.91
2020-08-09 08:48:41,5,2,0.91
2020-08-09 08:48:41,5,1,0.92
2020-08-09 08:48:42,4,1,0.94
2020-08-09 08:48:42,4,1,0.94
2020-08-09 08:48:43,8,7,0.81
2020-08-09 08:48:44,6,2,0.9
2020-08-09 08:48:44,5,3,0.9
2020-08-09 08:48:45,5,3,0.9
2020-08-09 08:48:45,3,0,0.96
2020-08-09 08:48:46,4,3,0.91
2020-08-09 08:48:46,5,2,0.91
2020-08-09 08:48:47,4,1,0.94
2020-08-09 08:48:47,4,1,0.94
2020-08-09 08:48:48,4,1,0.94
2020-08-09 08:48:48,4,1,0.94
2020-08-09 08:48:49,4,1,0.94
2020-08-09 08:48:49,4,2,0.92
2020-08-09 08:48:50,2,0,0.98
2020-08-09 08:48:50,3,0,0.96
2020-08-09 08:48:51,4,1,0.94
2020-08-09 08:48:51,5,1,0.92
2020-08-09 08:48:52,5,1,0.92
2020-08-09 08:48:52,5,1,0.92
2020-08-09 08:48:53,5,2,0.91
2020-08-09 08:48:53,6,3,0.89
2020-08-09 08:48:54,6,2,0.9
2020-08-09 08:48:54,4,1,0.94
2020-08-09 08:48:55,7,5,0.85
2020-08-09 08:48:55,7,4,0.86
2020-08-09 08:48:56,7,4,0.86
2020-08-09 08:48:56,5,1,0.92
2020-08-09 08:48:57,3,0,0.96
2020-08-09 08:48:57,3,1,0.95
2020-08-09 08:48:58,5,2,0.91
2020-08-09 08:48:58,6,4,0.88
2020-08-09 08:48:59,3,1,0.95
2020-08-09 08:48:59,3,0,0.96
2020-08-09 08:49:00,2,0,0.98
2020-08-09 08:49:01,3,1,0.95
2020-08-09 08:49:01,5,3,0.9
2020-08-09 08:49:02,5,2,0.91
2020-08-09 08:49:02,2,0,0.98
2020-08-09 08:49:03,3,0,0.96
2020-08-09 08:49:03,5,3,0.9
2020-08-09 08:49:04,5,1,0.92
2020-08-09 08:49:04,5,3,0.9
2020-08-09 08:49:05,4,3,0.91
2020-08-09 08:49:05,4,1,0.94
2020-08-09 08:49:06,7,5,0.85
2020-08-09 08:49:06,5,1,0.92
2020-08-09 08:49:07,5,1,0.92
2020-08-09 08:49:07,2,0,0.98
2020-08-09 08:49:08,4,3,0.91
2020-08-09 08:49:08,4,1,0.94
2020-08-09 08:49:09,5,2,0.91
2020-08-09 08:49:09,5,1,0.92
2020-08-09 08:49:10,4,0,0.95
2020-08-09 08:49:10,4,2,0.92
2020-08-09 08:49:11,5,2,0.91
2020-08-09 08:49:11,4,0,0.95
2020-08-09 08:49:12,4,1,0.94
2020-08-09 08:49:12,5,1,0.92
2020-08-09 08:49:13,5,1,0.92
2020-08-09 08:49:13,4,0,0.95
2020-08-09 08:49:14,3,0,0.96
2020-08-09 08:49:14,5,1,0.92
2020-08-09 08:49:15,5,0,0.94
2020-08-09 08:49:15,6,2,0.9
2020-08-09 08:49:16,4,1,0.94
2020-08-09 08:49:16,4,1,0.94
2020-08-09 08:49:17,5,2,0.91
2020-08-09 08:49:18,4,1,0.94
2020-08-09 08:49:18,2,0,0.98
2020-08-09 08:49:19,2,0,0.98
2020-08-09 08:49:19,3,1,0.95
2020-08-09 08:49:20,1,0,0.99
2020-08-09 08:49:20,2,0,0.98
2020-08-09 08:49:21,2,0,0.98
2020-08-09 08:49:21,3,0,0.96
2020-08-09 08:49:22,3,0,0.96
2020-08-09 08:49:22,3,1,0.95
2020-08-09 08:49:23,3,1,0.95
2020-08-09 08:49:23,3,1,0.95
2020-08-09 08:49:24,3,1,0.95
2020-08-09 08:49:24,4,1,0.94
2020-08-09 08:49:25,5,2,0.91
2020-08-09 08:49:25,2,0,0.98
2020-08-09 08:49:26,4,0,0.95
2020-08-09 08:49:26,4,0,0.95
2020-08-09 08:49:27,5,0,0.94
2020-08-09 08:49:27,5,0,0.94
2020-08-09 08:49:28,5,3,0.9
2020-08-09 08:49:28,5,3,0.9
2020-08-09 08:49:29,5,3,0.9
2020-08-09 08:49:29,6,3,0.89
2020-08-09 08:49:30,4,1,0.94
2020-08-09 08:49:30,4,1,0.94
2020-08-09 08:49:31,5,2,0.91
2020-08-09 08:49:31,5,0,0.94
2020-08-09 08:49:32,5,3,0.9
2020-08-09 08:49:32,6,3,0.89
2020-08-09 08:49:33,5,2,0.91
2020-08-09 08:49:34,6,3,0.89
2020-08-09 08:49:34,3,0,0.96
2020-08-09 08:49:35,5,2,0.91
2020-08-09 08:49:35,5,3,0.9
2020-08-09 08:49:36,6,4,0.88
2020-08-09 08:49:36,5,3,0.9
2020-08-09 08:49:37,7,3,0.88
2020-08-09 08:49:37,5,2,0.91
2020-08-09 08:49:38,3,0,0.96
2020-08-09 08:49:38,4,1,0.94
2020-08-09 08:49:39,3,1,0.95
2020-08-09 08:49:39,4,3,0.91
2020-08-09 08:49:40,4,3,0.91
2020-08-09 08:49:40,5,3,0.9
2020-08-09 08:49:41,5,2,0.91
2020-08-09 08:49:41,3,1,0.95
2020-08-09 08:49:42,4,1,0.94
2020-08-09 08:49:42,4,1,0.94
2020-08-09 08:49:43,3,0,0.96
2020-08-09 08:49:43,3,0,0.96
2020-08-09 08:49:44,3,1,0.95
2020-08-09 08:49:44,3,1,0.95
2020-08-09 08:49:45,3,1,0.95
2020-08-09 08:49:45,3,0,0.96
2020-08-09 08:49:46,3,1,0.95
2020-08-09 08:50:06,4,2,0.92
2020-08-09 08:50:06,4,2,0.92
2020-08-09 08:50:07,4,1,0.94
2020-08-09 08:50:07,3,0,0.96
2020-08-09 08:50:08,4,0,0.95
2020-08-09 08:50:08,4,0,0.95
2020-08-09 08:50:09,3,1,0.95
2020-08-09 08:50:09,5,2,0.91
2020-08-09 08:50:10,4,1,0.94
2020-08-09 08:50:10,3,1,0.95
2020-08-09 08:50:11,4,4,0.9
2020-08-09 08:50:11,5,3,0.9
2020-08-09 08:50:12,5,3,0.9
2020-08-09 08:50:13,5,2,0.91
2020-08-09 08:50:13,4,1,0.94
2020-08-09 08:50:14,2,0,0.98
2020-08-09 08:50:14,2,0,0.98
2020-08-09 08:50:15,3,0,0.96
2020-08-09 08:50:15,3,1,0.95
2020-08-09 08:50:16,3,0,0.96
2020-08-09 08:50:16,3,0,0.96
2020-08-09 08:50:17,3,0,0.96
2020-08-09 08:50:17,3,0,0.96
2020-08-09 08:50:18,4,0,0.95
2020-08-09 08:50:18,3,0,0.96
2020-08-09 08:50:19,1,0,0.99
2020-08-09 08:50:19,3,0,0.96
2020-08-09 08:50:20,3,0,0.96
2020-08-09 08:50:20,3,0,0.96
2020-08-09 08:50:21,3,0,0.96
2020-08-09 08:50:21,3,0,0.96
2020-08-09 08:50:22,4,0,0.95
2020-08-09 08:50:22,4,2,0.92
2020-08-09 08:50:23,3,1,0.95
2020-08-09 08:50:23,4,1,0.94
2020-08-09 08:50:24,3,1,0.95
2020-08-09 08:50:24,3,0,0.96
2020-08-09 08:50:25,3,1,0.95
2020-08-09 08:50:25,4,2,0.92
2020-08-09 08:50:26,4,3,0.91
2020-08-09 08:50:26,4,3,0.91
2020-08-09 08:50:27,4,3,0.91
2020-08-09 08:50:27,4,3,0.91
2020-08-09 08:50:28,4,3,0.91
2020-08-09 08:50:29,5,4,0.89
2020-08-09 08:50:29,5,3,0.9
2020-08-09 08:50:30,1,0,0.99
2020-08-09 08:50:30,2,0,0.98
2020-08-09 08:50:31,1,0,0.99
2020-08-09 08:50:31,1,0,0.99
2020-08-09 08:50:32,1,0,0.99
2020-08-09 08:50:32,2,0,0.98
2020-08-09 08:50:33,2,0,0.98
2020-08-09 08:50:33,2,0,0.98
2020-08-09 08:50:34,2,0,0.98
2020-08-09 08:50:34,2,1,0.96
2020-08-09 08:50:35,2,1,0.96
2020-08-09 08:50:35,2,1,0.96
2020-08-09 08:50:36,2,1,0.96
2020-08-09 08:50:36,2,1,0.96
2020-08-09 08:50:37,2,1,0.96
2020-08-09 08:50:37,2,0,0.98
2020-08-09 08:50:38,2,0,0.98
2020-08-09 08:50:38,2,0,0.98
2020-08-09 08:50:39,1,0,0.99
2020-08-09 08:50:39,1,0,0.99
2020-08-09 08:50:40,2,0,0.98
2020-08-09 08:50:40,2,0,0.98
2020-08-09 08:50:41,2,0,0.98
2020-08-09 08:50:41,2,0,0.98
2020-08-09 08:50:42,5,1,0.92
2020-08-09 08:50:42,4,0,0.95
2020-08-09 08:50:43,3,0,0.96
2020-08-09 08:50:43,3,0,0.96
2020-08-09 08:50:44,7,4,0.86
2020-08-09 08:50:44,7,4,0.86
2020-08-09 08:50:45,6,2,0.9
2020-08-09 08:50:45,7,3,0.88
2020-08-09 08:50:46,7,2,0.89
2020-08-09 08:50:46,7,3,0.88
2020-08-09 08:50:47,7,1,0.9
2020-08-09 08:50:47,6,0,0.92
2020-08-09 08:50:48,6,1,0.91
2020-08-09 08:50:48,4,2,0.92
2020-08-09 08:50:49,4,2,0.92
2020-08-09 08:50:49,4,1,0.94
2020-08-09 08:50:50,5,1,0.92
2020-08-09 08:50:51,5,0,0.94
2020-08-09 08:50:51,6,1,0.91
2020-08-09 08:50:52,6,1,0.91
2020-08-09 08:50:52,7,3,0.88
2020-08-09 08:50:53,2,0,0.98
2020-08-09 08:50:53,4,1,0.94
2020-08-09 08:50:54,5,2,0.91
2020-08-09 08:50:54,4,1,0.94
2020-08-09 08:50:55,6,4,0.88
2020-08-09 08:50:55,5,2,0.91
2020-08-09 08:50:56,5,2,0.91
2020-08-09 08:50:56,5,2,0.91
2020-08-09 08:50:57,3,0,0.96
2020-08-09 08:50:57,4,1,0.94
2020-08-09 08:50:58,4,1,0.94
2020-08-09 08:50:58,2,0,0.98
2020-08-09 08:50:59,3,0,0.96
2020-08-09 08:50:59,7,2,0.89
2020-08-09 08:51:00,5,0,0.94
2020-08-09 08:51:00,6,0,0.92
2020-08-09 08:51:01,5,2,0.91
2020-08-09 08:51:01,6,3,0.89
2020-08-09 08:51:02,4,2,0.92
2020-08-09 08:51:02,7,3,0.88
2020-08-09 08:51:03,5,0,0.94
2020-08-09 08:51:03,6,2,0.9
2020-08-09 08:51:04,7,2,0.89
2020-08-09 08:51:04,3,0,0.96
2020-08-09 08:51:05,2,0,0.98
2020-08-09 08:51:05,2,0,0.98
2020-08-09 08:51:06,3,0,0.96
2020-08-09 08:51:06,3,1,0.95
2020-08-09 08:51:07,3,1,0.95
2020-08-09 08:51:07,3,1,0.95
2020-08-09 08:51:08,2,0,0.98
2020-08-09 08:51:09,3,1,0.95
2020-08-09 08:51:09,5,1,0.92
2020-08-09 08:51:10,5,1,0.92
2020-08-09 08:51:10,6,2,0.9
2020-08-09 08:51:11,5,2,0.91
2020-08-09 08:51:11,4,1,0.94
2020-08-09 08:51:12,5,1,0.92
2020-08-09 08:51:12,4,0,0.95
2020-08-09 08:51:13,5,1,0.92
2020-08-09 08:51:13,5,2,0.91
2020-08-09 08:51:14,6,2,0.9
2020-08-09 08:51:14,5,1,0.92
2020-08-09 08:51:15,6,2,0.9
2020-08-09 08:51:15,5,2,0.91
2020-08-09 08:51:16,5,3,0.9
2020-08-09 08:51:16,3,1,0.95
2020-08-09 08:51:17,3,1,0.95
2020-08-09 08:51:17,4,1,0.94
2020-08-09 08:51:18,6,2,0.9
2020-08-09 08:51:18,4,1,0.94
2020-08-09 08:51:19,6,2,0.9
2020-08-09 08:51:19,6,2,0.9
2020-08-09 08:51:20,6,3,0.89
2020-08-09 08:51:20,5,2,0.91
2020-08-09 08:51:21,5,2,0.91
2020-08-09 08:51:21,4,2,0.92
2020-08-09 08:51:22,3,1,0.95
2020-08-09 08:51:22,3,1,0.95
2020-08-09 08:51:23,4,1,0.94
2020-08-09 08:51:23,5,1,0.92
2020-08-09 08:51:24,4,1,0.94
2020-08-09 08:51:24,3,0,0.96
2020-08-09 08:51:25,4,0,0.95
2020-08-09 08:51:25,4,1,0.94
2020-08-09 08:51:26,4,0,0.95
2020-08-09 08:51:27,3,0,0.96
2020-08-09 08:51:27,3,0,0.96
2020-08-09 08:51:28,6,1,0.91
2020-08-09 08:51:28,4,1,0.94
2020-08-09 08:51:29,5,2,0.91
2020-08-09 08:51:29,5,3,0.9
2020-08-09 08:51:30,5,2,0.91
2020-08-09 08:51:30,6,2,0.9
2020-08-09 08:51:31,6,2,0.9
2020-08-09 08:51:31,3,0,0.96
